authorJob,followers,topic,image,video,hashtag,textWords,vote,time,labels
senior,5482,technical,1,0,1,17,0,1,2
senior,3566,technical,0,0,1,42,0,1,1
senior,16801,social,1,0,1,186,0,1,2
senior,"14,452",social,1,0,0,199,0,0.5,1
student,112,social,0,0,0,53,1,0.5,0
senior,741,job,0,0,1,27,0,1,2
senior,1819,social,0,0,4,135,0,0.5,1
senior,1350,technical,0,0,6,122,0,0.5,1
senior,"2,312",technical,0,0,2,43,0,0.5,1
senior,517,social,0,0,0,38,0,1,1
junior,2343,job,0,0,0,34,1,0.5,0
senior,6014,technical,0,0,1,52,0,1,1
senior,"27,224",job,0,0,2,106,0,0.5,1
senior,"12,564",technical,1,0,12,70,0,0.5,2
student,582,job,1,0,10,35,0,1,2
senior,1149,social,0,0,0,20,0,1,0
senior,1097,social,1,0,0,151,0,2,1
senior,"18,952",job,0,0,0,372,0,7,2
junior,494,social,0,0,1,7,0,0.5,1
senior,9752,social,0,0,4,214,0,7,2
senior,5300,social,0,0,4,219,0,0.5,1
junior,470,job,0,0,3,27,0,1,2
junior,1698,job,0,0,4,39,0,5,2
senior,1749,social,0,0,5,81,0,2,0
company,10138,technical,1,0,10,116,0,7,1
senior,"12,564",technical,1,0,11,183,0,1,2
senior,4798,social,0,0,1,23,1,2,1
senior,1137,social,0,1,1,61,0,5,2
student,3058,social,1,0,0,9,0,6,2
senior,"28,409",social,0,1,0,3,0,5,1
senior,32000,social,0,0,1,278,0,14,2
junior,1275,social,0,0,0,160,0,0.5,1
senior,1850,job,0,0,3,108,1,0.5,0
junior,755,technical,1,0,1,18,0,4,1
junior,3056,social,0,0,0,88,0,0.5,0
senior,17594,social,0,0,0,173,0,7,2
senior,2249,technical,1,0,1,24,0,7,0
senior,579,social,0,0,1,50,0,7,1
senior,612,social,0,1,1,65,0,1,1
senior,3059,technical,1,0,1,206,0,7,2
senior,58588,technical,1,0,4,56,1,6,2
junior,1420,technical,1,0,5,110,0,1,2
senior,17594,social,0,0,0,24,0,0.5,1
senior,14059,technical,1,0,0,202,0,4,2
company,17005,job,1,0,2,190,0,0.5,1
senior,2138,social,1,0,3,4,0,1,1
senior,2172,social,0,1,1,41,0,1,2
senior,2269,social,0,0,5,110,0,0.5,1
senior,1181,social,0,1,0,11,0,0.5,2
senior,739,social,1,0,0,16,0,7,2
senior,448,job,0,0,6,54,0,0.5,1
senior,4068,social,0,0,3,42,1,0.5,0
senior,15016,technical,1,0,8,22,0,2,2
senior,4817,social,1,0,3,110,0,2,2
senior,9771,technical,0,0,0,134,0,3,0
junior,417,technical,0,1,1,138,0,5,2
senior,1025,social,1,0,0,92,0,2,0
senior,792,job,1,0,6,18,0,4,2
senior,"24,873",job,0,0,0,89,0,1,1
senior,"2,979",technical,0,0,9,160,0,7,1
junior,1041,job,1,0,5,129,0,1,2
senior,"27,224",job,0,0,1,84,0,0.5,1
senior,2103,social,0,1,5,11,0,5,2
senior,"27,383",social,1,0,2,138,0,2,1
junior,772,technical,0,1,3,48,0,0.5,0
senior,1262,social,0,0,2,162,0,6,2
senior,648,technical,1,0,4,4,0,6,0
senior,431,technical,0,0,0,16,0,1,1
senior,1244,social,1,0,4,0,0,21,1
senior,2282,social,1,0,8,20,0,1,1
senior,10512,social,1,0,1,150,0,2,2
student,"25,513",social,0,0,0,35,0,6,2
senior,1652,technical,0,0,0,20,0,7,0
junior,541,social,1,0,0,50,0,6,1
senior,"18,723",social,1,0,0,430,0,1,2
senior,2757,job,0,0,4,128,0,1,1
company,10157,technical,0,0,2,170,0,1,1
junior,6299,technical,0,0,4,18,0,6,1
company,2043,social,1,0,0,3,0,0.5,0
senior,"26,495",job,1,0,0,61,0,0.5,1
senior,1850,social,0,0,3,354,0,2,1
senior,5380,social,1,0,0,14,0,7,2
junior,1091,job,0,0,3,23,0,0.5,1
senior,35055,social,0,1,0,60,0,0.5,1
company,9774,technical,0,1,8,100,0,1,1
senior,6028,social,1,0,0,35,0,7,1
junior,590,job,1,0,7,53,0,1,2
senior,1735,social,1,0,3,45,0,2,1
senior,230,social,1,0,0,59,0,7,2
senior,945,job,0,0,1,20,0,7,1
senior,1541,job,0,0,0,80,0,0.5,1
senior,4149,social,0,0,6,185,0,1,2
company,10157,social,0,1,4,50,0,7,1
senior,11158,technical,0,0,17,509,0,0.5,1
senior,2578,job,0,0,3,40,0,21,2
junior,1044,job,1,0,0,16,0,7,2
junior,1806,technical,0,1,6,83,0,21,2
senior,8654,technical,1,0,0,9,0,3,2
student,195,job,0,0,0,72,0,5,2
company,3338,job,1,0,9,280,0,7,0
senior,4503,technical,1,0,7,2,0,7,2
senior,7268,social,0,0,0,250,0,21,2
senior,282,technical,1,0,10,201,0,1,1
company,9027,etc,1,0,4,78,0,1,2
senior,3566,technical,0,0,2,42,0,1,2
junior,1002,etc,0,0,0,48,0,0.5,0
senior,628,job,0,0,5,13,0,2,2
senior,23371,technical,0,1,4,176,0,5,2
senior,1819,etc,0,0,4,133,0,0.5,1
senior,6337,technical,0,0,1,49,0,3,2
senior,7182,technical,1,0,5,456,0,0.5,1
senior,2487,job,1,0,6,23,0,0.5,1
junior,533,job,1,0,0,28,0,0.5,2
senior,2659,etc,0,0,0,199,0,2,1
senior,1016,job,0,0,5,129,0,0.5,2
student,431,job,1,0,0,33,0,1,1
senior,7853,social,0,1,0,18,0,1,2
senior,44,job,0,0,0,98,0,1,0
senior,1880,technical,1,0,1,16,0,1,1
company,26642,etc,1,0,2,166,0,0.5,1
senior,2263,job,0,0,5,110,0,0.5,0
junior,1305,technical,1,0,6,55,0,1,1
senior,2601,technical,0,0,3,94,0,1,2
